"SpatialDimValueCode","Location","FactValueNumeric"
"VEN","Venezuela (Bolivarian Republic of)",35.61
"VCT","Saint Vincent and the Grenadines",35.62
"TTO","Trinidad and Tobago",35.65
"LBN","Lebanon",35.69
"MYS","Malaysia",35.75
"AUS","Australia",35.72
"URY","Uruguay",35.7
"FSM","Micronesia (Federated States of)",35.77
"SYR","Syrian Arab Republic",35.84
"SGP","Singapore",35.82
"LBY","Libya",35.77
"BRA","Brazil",35.78
"SUR","Suriname",35.92
"CRI","Costa Rica",35.89
"ITA","Italy",35.94
"SYC","Seychelles",35.89
"BRA","Brazil",35.89
"PNG","Papua New Guinea",35.97
"TUV","Tuvalu",35.96
"VUT","Vanuatu",35.97
"CUB","Cuba",36.03
"VCT","Saint Vincent and the Grenadines",35.96
"AUS","Australia",35.97
"BRA","Brazil",36
"VEN","Venezuela (Bolivarian Republic of)",36.13
"ECU","Ecuador",36.06
"AUS","Australia",36.11
"GRC","Greece",36.12
"ECU","Ecuador",36.05
"SYR","Syrian Arab Republic",36.25
"AUS","Australia",36.23
"SYR","Syrian Arab Republic",36.32
"DZA","Algeria",36.32
"PLW","Palau",36.29
"PRI","Puerto Rico",36.37
"GRD","Grenada",36.43
"PNG","Papua New Guinea",36.37
"AUS","Australia",36.39
"BMU","Bermuda",36.45
"CYP","Cyprus",36.54
"SRB","Serbia",36.45
"KIR","Kiribati",36.56
"LCA","Saint Lucia",36.55
"SLV","El Salvador",36.62
"URY","Uruguay",36.63
"SUR","Suriname",36.68
"DMA","Dominica",36.68
"OMN","Oman",36.7
"AUS","Australia",36.68
"BIH","Bosnia and Herzegovina",36.78
"DMA","Dominica",36.83
"SAU","Saudi Arabia",36.83
"CYP","Cyprus",36.76
"MNE","Montenegro",36.82
"MEX","Mexico",36.77
"SUR","Suriname",36.89
"DMA","Dominica",36.9
"LCA","Saint Lucia",36.95
"CYP","Cyprus",36.88
"AUS","Australia",36.87
"ESP","Spain",36.91
"PAN","Panama",36.94
"IRQ","Iraq",36.99
"LBY","Libya",36.96
"MHL","Marshall Islands",36.99
"SYR","Syrian Arab Republic",37.06
"CUB","Cuba",37.15
"ESP","Spain",37.07
"KOR","Republic of Korea",37.14
"BMU","Bermuda",37.23
"PRI","Puerto Rico",37.17
"LCA","Saint Lucia",37.15
"VEN","Venezuela (Bolivarian Republic of)",37.2
"ESP","Spain",37.24
"AUS","Australia",37.21
"NIC","Nicaragua",37.34
"BMU","Bermuda",37.32
"GRD","Grenada",37.34
"BMU","Bermuda",37.27
"BGR","Bulgaria",37.34
"SYC","Seychelles",37.32
"HND","Honduras",37.41
"SYR","Syrian Arab Republic",37.36
"HTI","Haiti",37.4
"GRD","Grenada",37.41
"OMN","Oman",37.39
"GRD","Grenada",37.48
"TTO","Trinidad and Tobago",37.54
"BOL","Bolivia (Plurinational State of)",37.48
"PAN","Panama",37.55
"URY","Uruguay",37.53
"BMU","Bermuda",37.57
"AUS","Australia",37.56
"PAN","Panama",37.58
"GRD","Grenada",37.68
"IRQ","Iraq",37.68
"SAU","Saudi Arabia",37.69
"BHR","Bahrain",37.71
"PRI","Puerto Rico",37.8
"LBN","Lebanon",37.84
"GRC","Greece",37.82
"MHL","Marshall Islands",37.9
"PRI","Puerto Rico",37.85
"LCA","Saint Lucia",37.85
"SGP","Singapore",37.93
"JAM","Jamaica",37.88
"MDV","Maldives",37.86
"MEX","Mexico",37.93
"PER","Peru",37.95
"PNG","Papua New Guinea",38.12
"QAT","Qatar",38.12
"IRQ","Iraq",38.08
"IRQ","Iraq",38.09
"NZL","New Zealand",38.05
"SUR","Suriname",38.22
"GRD","Grenada",38.16
"BMU","Bermuda",38.2
"PRI","Puerto Rico",38.2
"PRY","Paraguay",38.22
"VCT","Saint Vincent and the Grenadines",38.18
"KWT","Kuwait",38.16
"DMA","Dominica",38.26
"JOR","Jordan",38.44
"URY","Uruguay",38.37
"NZL","New Zealand",38.39
"LCA","Saint Lucia",38.54
"PRI","Puerto Rico",38.53
"PRI","Puerto Rico",38.47
"MUS","Mauritius",38.52
"GRC","Greece",38.52
"BMU","Bermuda",38.63
"BHR","Bahrain",38.56
"OMN","Oman",38.57
"USA","United States of America",38.62
"PER","Peru",38.57
"BRB","Barbados",38.73
"KNA","Saint Kitts and Nevis",38.72
"DMA","Dominica",38.81
"TTO","Trinidad and Tobago",38.8
"MHL","Marshall Islands",38.81
"VEN","Venezuela (Bolivarian Republic of)",38.82
"BIH","Bosnia and Herzegovina",38.79
"JOR","Jordan",38.84
"PAN","Panama",38.77
"USA","United States of America",38.84
"HTI","Haiti",38.87
"GRD","Grenada",38.88
"MEX","Mexico",38.89
"BRN","Brunei Darussalam",38.97
"TKL","Tokelau",39.13
"PRI","Puerto Rico",39.14
"TTO","Trinidad and Tobago",39.14
"ARG","Argentina",39.07
"USA","United States of America",39.05
"NZL","New Zealand",39.06
"IRQ","Iraq",39.25
"IRQ","Iraq",39.18
"EGY","Egypt",39.23
"BRN","Brunei Darussalam",39.16
"GRC","Greece",39.18
"ARG","Argentina",39.24
"PER","Peru",39.2
"NZL","New Zealand",39.2
"PNG","Papua New Guinea",39.29
"MHL","Marshall Islands",39.32
"BRN","Brunei Darussalam",39.25
"NZL","New Zealand",39.33
"FSM","Micronesia (Federated States of)",39.39
"OMN","Oman",39.44
"ARG","Argentina",39.42
"MEX","Mexico",39.36
"LCA","Saint Lucia",39.52
"JOR","Jordan",39.64
"JOR","Jordan",39.59
"CUB","Cuba",39.71
"MHL","Marshall Islands",39.8
"IRQ","Iraq",39.82
"MEX","Mexico",39.79
"MEX","Mexico",39.83
"DMA","Dominica",39.88
"PAN","Panama",39.93
"NZL","New Zealand",39.91
"MEX","Mexico",39.93
"TLS","Timor-Leste",4.02
"BFA","Burkina Faso",4.14
"MDG","Madagascar",4.31
"MDG","Madagascar",4.44
"TLS","Timor-Leste",4.43
"MDG","Madagascar",4.36
"ETH","Ethiopia",4.59
"KEN","Kenya",4.75
"BDI","Burundi",4.85
"VCT","Saint Vincent and the Grenadines",40.03
"JOR","Jordan",40.03
"URY","Uruguay",40.05
"PER","Peru",39.96
"CUB","Cuba",40.07
"EGY","Egypt",40.15
"MEX","Mexico",40.07
"NZL","New Zealand",40.25
"QAT","Qatar",40.34
"MHL","Marshall Islands",40.33
"BOL","Bolivia (Plurinational State of)",40.35
"KIR","Kiribati",40.55
"PRY","Paraguay",40.52
"BHR","Bahrain",40.51
"LCA","Saint Lucia",40.57
"PAN","Panama",40.57
"JOR","Jordan",40.72
"VEN","Venezuela (Bolivarian Republic of)",40.83
"IRQ","Iraq",40.76
"KWT","Kuwait",40.76
"PNG","Papua New Guinea",40.91
"JOR","Jordan",40.87
"FSM","Micronesia (Federated States of)",41
"LBN","Lebanon",41.04
"KNA","Saint Kitts and Nevis",40.96
"ARG","Argentina",41.05
"PLW","Palau",41.01
"BRB","Barbados",41.07
"ARG","Argentina",41.13
"ARG","Argentina",41.09
"PER","Peru",41.13
"JOR","Jordan",41.17
"SUR","Suriname",41.32
"TTO","Trinidad and Tobago",41.28
"BRB","Barbados",41.26
"GRD","Grenada",41.43
"SAU","Saudi Arabia",41.4
"LBN","Lebanon",41.48
"PER","Peru",41.52
"NZL","New Zealand",41.5
"BMU","Bermuda",41.64
"HTI","Haiti",41.64
"OMN","Oman",41.56
"IRQ","Iraq",41.64
"SAU","Saudi Arabia",41.59
"PYF","French Polynesia",41.73
"BRB","Barbados",41.7
"BRN","Brunei Darussalam",41.66
"URY","Uruguay",41.65
"BRN","Brunei Darussalam",41.74
"KOR","Republic of Korea",41.72
"PRI","Puerto Rico",41.78
"BLZ","Belize",41.78
"FSM","Micronesia (Federated States of)",41.79
"QAT","Qatar",41.81
"BOL","Bolivia (Plurinational State of)",41.79
"LBN","Lebanon",41.82
"ECU","Ecuador",41.83
"USA","United States of America",41.78
"BRN","Brunei Darussalam",41.79
"SGP","Singapore",41.91
"LBN","Lebanon",41.93
"OMN","Oman",41.86
"KNA","Saint Kitts and Nevis",42.03
"WSM","Samoa",42.01
"BRB","Barbados",42.02
"JOR","Jordan",42.04
"LBN","Lebanon",42
"USA","United States of America",41.95
"OMN","Oman",42.08
"USA","United States of America",42.12
"PAN","Panama",42.17
"TON","Tonga",42.32
"ARE","United Arab Emirates",42.33
"PER","Peru",42.27
"BRB","Barbados",42.36
"BHR","Bahrain",42.4
"ARE","United Arab Emirates",42.38
"EGY","Egypt",42.42
"ATG","Antigua and Barbuda",42.52
"TTO","Trinidad and Tobago",42.51
"KNA","Saint Kitts and Nevis",42.5
"ARE","United Arab Emirates",42.46
"KNA","Saint Kitts and Nevis",42.47
"KNA","Saint Kitts and Nevis",42.46
"NZL","New Zealand",42.55
"MDV","Maldives",42.62
"BLZ","Belize",42.7
"BRB","Barbados",42.75
"PNG","Papua New Guinea",42.68
"PRY","Paraguay",42.72
"BRB","Barbados",42.74
"FSM","Micronesia (Federated States of)",42.81
"KOR","Republic of Korea",42.83
"KNA","Saint Kitts and Nevis",42.9
"BIH","Bosnia and Herzegovina",42.88
"KWT","Kuwait",42.89
"BRA","Brazil",42.9
"BHR","Bahrain",42.98
"SGP","Singapore",43.12
"ATG","Antigua and Barbuda",43.35
"TUV","Tuvalu",43.29
"USA","United States of America",43.26
"USA","United States of America",43.41
"NIU","Niue",43.51
"BLZ","Belize",43.46
"BLZ","Belize",43.49
"KIR","Kiribati",43.64
"USA","United States of America",43.56
"BLZ","Belize",43.84
"URY","Uruguay",43.84
"CUB","Cuba",43.75
"KNA","Saint Kitts and Nevis",44.01
"ARE","United Arab Emirates",44.04
"KIR","Kiribati",44.12
"ASM","American Samoa",44.13
"QAT","Qatar",44.09
"PYF","French Polynesia",44.12
"BRN","Brunei Darussalam",44.15
"BHR","Bahrain",44.09
"BLZ","Belize",44.21
"BRN","Brunei Darussalam",44.16
"BRN","Brunei Darussalam",44.17
"ARG","Argentina",44.19
"BLZ","Belize",44.3
"ATG","Antigua and Barbuda",44.27
"ATG","Antigua and Barbuda",44.41
"BRA","Brazil",44.43
"BLZ","Belize",44.55
"ATG","Antigua and Barbuda",44.57
"ATG","Antigua and Barbuda",44.72
"FSM","Micronesia (Federated States of)",44.69
"ARG","Argentina",44.66
"COK","Cook Islands",44.78
"VEN","Venezuela (Bolivarian Republic of)",44.93
"ARG","Argentina",45.11
"PLW","Palau",45.06
"ATG","Antigua and Barbuda",45.21
"BHR","Bahrain",45.18
"EGY","Egypt",45.16
"ATG","Antigua and Barbuda",45.27
"ARE","United Arab Emirates",45.27
"KOR","Republic of Korea",45.26
"PLW","Palau",45.32
"LBN","Lebanon",45.55
"ARE","United Arab Emirates",45.51
"EGY","Egypt",45.53
"SGP","Singapore",45.64
"SAU","Saudi Arabia",45.79
"EGY","Egypt",45.76
"BOL","Bolivia (Plurinational State of)",45.87
"TON","Tonga",45.87
"BRA","Brazil",45.89
"SAU","Saudi Arabia",45.98
"ARE","United Arab Emirates",46.05
"BHS","Bahamas",46.14
"EGY","Egypt",46.13
"KNA","Saint Kitts and Nevis",46.25
"FSM","Micronesia (Federated States of)",46.19
"PER","Peru",46.4
"TKL","Tokelau",46.46
"BRB","Barbados",46.61
"QAT","Qatar",46.57
"KIR","Kiribati",46.68
"EGY","Egypt",46.75
"URY","Uruguay",47.03
"BOL","Bolivia (Plurinational State of)",47.07
"KWT","Kuwait",47.13
"BLZ","Belize",47.18
"CUB","Cuba",47.18
"KWT","Kuwait",47.39
"PYF","French Polynesia",47.61
"KIR","Kiribati",47.71
"NRU","Nauru",47.72
"PLW","Palau",47.67
"LBN","Lebanon",47.84
"BHS","Bahamas",47.84
"ATG","Antigua and Barbuda",47.94
"WSM","Samoa",47.92
"KIR","Kiribati",48
"ARE","United Arab Emirates",48.05
"TUV","Tuvalu",48.17
"KIR","Kiribati",48.3
"QAT","Qatar",48.26
"PYF","French Polynesia",48.75
"PYF","French Polynesia",48.65
"BHS","Bahamas",48.92
"NRU","Nauru",49.12
"TON","Tonga",49.23
"WSM","Samoa",49.45
"PLW","Palau",49.51
"WSM","Samoa",49.68
"ARE","United Arab Emirates",49.69
"BHS","Bahamas",49.7
"QAT","Qatar",49.84
"PLW","Palau",49.82
"TZA","United Republic of Tanzania",5.04
"MWI","Malawi",5.19
"BFA","Burkina Faso",5.28
"ETH","Ethiopia",5.32
"BDI","Burundi",5.39
"RWA","Rwanda",5.5
"ZWE","Zimbabwe",5.63
"BGD","Bangladesh",5.55
"ETH","Ethiopia",5.63
"SEN","Senegal",5.7
"BDI","Burundi",5.73
"ETH","Ethiopia",5.75
"TZA","United Republic of Tanzania",5.93
"ETH","Ethiopia",5.94
"TUV","Tuvalu",50.01
"URY","Uruguay",50.05
"SAU","Saudi Arabia",50.2
"PYF","French Polynesia",50.34
"KWT","Kuwait",50.64
"FSM","Micronesia (Federated States of)",50.71
"PYF","French Polynesia",50.94
"PLW","Palau",50.91
"PER","Peru",51.11
"BHS","Bahamas",51.25
"WSM","Samoa",51.32
"BHS","Bahamas",51.55
"BHS","Bahamas",51.68
"BHS","Bahamas",51.67
"COK","Cook Islands",51.83
"PYF","French Polynesia",51.96
"TUV","Tuvalu",51.98
"BHS","Bahamas",52.09
"KWT","Kuwait",52.21
"PLW","Palau",52.24
"ASM","American Samoa",52.41
"WSM","Samoa",52.45
"QAT","Qatar",52.76
"ASM","American Samoa",52.89
"NIU","Niue",53.16
"TKL","Tokelau",53.41
"WSM","Samoa",54.31
"TKL","Tokelau",54.63
"TON","Tonga",54.68
"QAT","Qatar",54.8
"CHL","Chile",54.81
"ASM","American Samoa",54.96
"TUV","Tuvalu",55.05
"CHL","Chile",55.08
"CHL","Chile",55.34
"TUV","Tuvalu",55.39
"CHL","Chile",55.7
"KWT","Kuwait",56.16
"WSM","Samoa",56.3
"TKL","Tokelau",56.54
"TON","Tonga",56.55
"TUV","Tuvalu",56.79
"BOL","Bolivia (Plurinational State of)",57.21
"ASM","American Samoa",57.33
"NRU","Nauru",57.26
"CHL","Chile",57.49
"TON","Tonga",57.56
"CHL","Chile",57.87
"NRU","Nauru",58.12
"TUV","Tuvalu",58.32
"NIU","Niue",58.38
"COK","Cook Islands",58.46
"TON","Tonga",58.53
"NRU","Nauru",59.45
"TKL","Tokelau",59.45
"ASM","American Samoa",59.71
"COG","Congo",6.02
"MDG","Madagascar",5.99
"LSO","Lesotho",6.34
"ETH","Ethiopia",6.28
"BGD","Bangladesh",6.27
"NPL","Nepal",6.36
"BFA","Burkina Faso",6.54
"NPL","Nepal",6.69
"BFA","Burkina Faso",6.7
"NER","Niger",6.81
"BDI","Burundi",6.8
"BFA","Burkina Faso",6.78
"NPL","Nepal",6.85
"KEN","Kenya",6.85
"CHL","Chile",59.96
"TKL","Tokelau",60.32
"COK","Cook Islands",60.47
"ASM","American Samoa",60.72
"TKL","Tokelau",60.82
"TKL","Tokelau",61.26
"ASM","American Samoa",61.81
"TON","Tonga",62.19
"COK","Cook Islands",62.28
"NIU","Niue",62.82
"NIU","Niue",63.38
"NRU","Nauru",63.35
"CHL","Chile",63.47
"COK","Cook Islands",64.08
"NRU","Nauru",64.78
"NIU","Niue",65.86
"TON","Tonga",67.11
"COK","Cook Islands",67.21
"NIU","Niue",67.68
"NIU","Niue",67.79
"COK","Cook Islands",67.87
"NRU","Nauru",68.12
"COK","Cook Islands",68.52
"CHL","Chile",69.23
"NIU","Niue",69.95
"BGD","Bangladesh",7.02
"BFA","Burkina Faso",6.97
"MWI","Malawi",7.12
"TZA","United Republic of Tanzania",7.12
"NER","Niger",7.08
"BGD","Bangladesh",7.12
"BFA","Burkina Faso",7.15
"MOZ","Mozambique",7.19
"TJK","Tajikistan",7.22
"MDG","Madagascar",7.25
"NER","Niger",7.25
"DJI","Djibouti",7.54
"ERI","Eritrea",7.49
"ETH","Ethiopia",7.48
"SEN","Senegal",7.59
"CPV","Cabo Verde",7.58
"NGA","Nigeria",7.59
"TZA","United Republic of Tanzania",7.59
"MDG","Madagascar",7.65
"SEN","Senegal",7.73
"SOM","Somalia",7.81
"COM","Comoros",7.82
"TZA","United Republic of Tanzania",7.83
"BGD","Bangladesh",7.84
"KHM","Cambodia",7.76
"UKR","Ukraine",7.82
"BDI","Burundi",7.86
"BDI","Burundi",7.91
"TJK","Tajikistan",8.06
"NAM","Namibia",8.17
"ZWE","Zimbabwe",8.24
"TCD","Chad",8.24
"TCD","Chad",8.17
"TZA","United Republic of Tanzania",8.24
"BFA","Burkina Faso",8.16
"MWI","Malawi",8.34
"BGD","Bangladesh",8.27
"IND","India",8.27
"TCD","Chad",8.36
"MWI","Malawi",8.36
"GIN","Guinea",8.5
"RWA","Rwanda",8.5
"SEN","Senegal",8.48
"NGA","Nigeria",8.52
"KHM","Cambodia",8.51
"ETH","Ethiopia",8.64
"TZA","United Republic of Tanzania",8.56
"SEN","Senegal",8.72
"LSO","Lesotho",8.68
"NPL","Nepal",8.73
"MWI","Malawi",8.74
"MOZ","Mozambique",8.67
"NPL","Nepal",8.75
"NPL","Nepal",8.76
"IND","India",8.81
"COG","Congo",8.86
"TJK","Tajikistan",8.86
"BFA","Burkina Faso",9
"SDN","Sudan",9.05
"TGO","Togo",9.06
"CPV","Cabo Verde",9.23
"SLB","Solomon Islands",9.17
"UGA","Uganda",9.22
"TJK","Tajikistan",9.25
"NER","Niger",9.21
"TJK","Tajikistan",9.19
"VNM","Viet Nam",9.18
"TJK","Tajikistan",9.22
"BGD","Bangladesh",9.19
"KEN","Kenya",9.16
"SSD","South Sudan",9.25
"NGA","Nigeria",9.26
"RWA","Rwanda",9.35
"SEN","Senegal",9.4
"UGA","Uganda",9.44
"MDG","Madagascar",9.46
"ZMB","Zambia",9.54
"SDN","Sudan",9.53
"MOZ","Mozambique",9.51
"MWI","Malawi",9.47
"TJK","Tajikistan",9.49
"KGZ","Kyrgyzstan",9.5
"NGA","Nigeria",9.49
"NGA","Nigeria",9.55
"BGD","Bangladesh",9.47
"TCD","Chad",9.6
"RWA","Rwanda",9.63
"ERI","Eritrea",9.68
"BDI","Burundi",9.69
"KGZ","Kyrgyzstan",9.73
"SLE","Sierra Leone",9.74
"UGA","Uganda",9.66
"UGA","Uganda",9.67
"IND","India",9.69
"DJI","Djibouti",9.85
"SEN","Senegal",9.76
"SEN","Senegal",9.8
"SDN","Sudan",9.82
"NGA","Nigeria",9.84
"MOZ","Mozambique",9.81
"RWA","Rwanda",9.79
"AGO","Angola",9.9
"NAM","Namibia",9.89
"KHM","Cambodia",9.92
"ERI","Eritrea",9.94
"MMR","Myanmar",9.89
"UGA","Uganda",9.91
"ZWE","Zimbabwe",9.91
"TJK","Tajikistan",9.94
